No,StateCode,State,Sample_Size,RSMR,exp_mortality,obs_mortality,RelativeRisk,Lower_Bound,Upper_Bound,P_value,Year
1,VA,Virginia,1779,25.95454193,28.96033713,23.88982575,1.0984,0.9444,1.2774,0.2158,2004
2,SD,South Dakota,141,26.02927292,32.98554231,22.69503546,0.8672,0.729,1.0315,0.1045,2004
3,MI,Michigan,1292,26.10263164,27.14586212,22.36842105,1.1694,1.0877,1.2572,<.0001,2004
4,IA,Iowa,338,26.99389428,24.05901672,19.52662722,0.79,0.6646,0.9389,0.0089,2004
5,CO,Colorado,749,27.1454594,29.76596549,25.36715621,1.1833,1.0182,1.3752,0.0292,2004
6,MN,Minnesota,581,27.24831598,29.72969646,25.30120482,0.9005,0.8362,0.9698,0.0069,2004
7,OH,Ohio,2549,27.26843549,28.41864375,24.83326795,1.1786,1.0567,1.3145,0.0042,2004
8,NE,Nebraska,168,27.40329198,25.2309229,19.64285714,1.032,0.782,1.3619,0.8192,2004
9,UT,Utah,259,27.87839035,29.20117522,24.71042471,0.8105,0.6394,1.0275,0.0808,2004
10,IN,Indiana,1297,28.11635223,29.7134827,26.6769468,0.918,0.8356,1.0084,0.0729,2004
11,WI,Wisconsin,590,28.31724417,28.62863734,25.59322034,0.8408,0.7334,0.964,0.0144,2004
12,AZ,Arizona,708,28.64694597,30.42177084,27.68361582,1.1582,0.9448,1.4199,0.1523,2004
13,FL,Florida,5376,29.21057171,30.38396908,28.62723214,1.1418,0.981,1.3288,0.0848,2004
14,WA,Washington,925,29.47578484,31.57104952,29.83783784,1.1881,1.0605,1.331,0.004,2004
15,IL,Illinois,2833,29.50455068,31.51441929,29.96823156,0.9757,0.8762,1.0864,0.6449,2004
16,TX,Texas,4893,30.04204441,31.04460246,30.10423053,0.7492,0.6499,0.8636,0.0002,2004
17,VT,Vermont,205,30.15598149,29.59040859,28.29268293,0.8058,0.669,0.9707,0.0243,2004
18,MD,Maryland,2231,30.54660934,29.64030226,29.22456298,1.1369,0.9842,1.3133,0.0796,2004
19,NH,New Hampshire,193,30.81520527,29.24412046,29.01554404,1.2557,1.1345,1.3898,<.0001,2004
20,HI,Hawaii,170,31.45633381,31.98837628,32.94117647,0.8242,0.6175,1.1,0.1828,2004
21,RI,Rhode Island,121,32.601091,27.45574965,30.5785124,0.992,0.758,1.2982,0.9519,2004
22,AR,Arkansas,939,32.72842277,26.57084197,28.32800852,1.183,1.0726,1.3047,0.0013,2004
23,NV,Nevada,510,32.81990325,32.03386964,34.50980392,1.126,0.9285,1.3656,0.22,2004
24,MO,Missouri,1007,33.21588969,29.61316882,32.0754717,1.4971,1.3951,1.6065,<.0001,2004
25,CA,California,5545,33.465677,32.24929323,34.93237151,0.8026,0.7233,0.8906,0.0001,2004
26,KY,Kentucky,870,33.50962129,27.70098572,30.34482759,1.2215,0.9996,1.4927,0.0504,2004
27,KS,Kansas,437,33.59851187,27.94692607,31.12128147,1.0897,0.808,1.4696,0.5638,2004
28,NJ,New Jersey,2370,33.83343031,32.50618371,35.69620253,1.2723,1.0657,1.5189,0.0091,2004
29,CT,Connecticut,907,33.85739631,30.44724403,33.73759647,0.738,0.5514,0.9877,0.0415,2004
30,GA,Georgia,1968,34.02486944,27.46575988,30.38617886,1.2455,1.1242,1.3798,0.0001,2004
31,MA,Massachusetts,1738,34.0591711,29.38598137,32.56616801,0.9472,0.8782,1.0215,0.1537,2004
32,WV,West Virginia,264,34.09764666,27.22443105,31.43939394,0.8387,0.6549,1.074,0.1578,2004
