No,Variable,Odds_Ratio,CI_Lower,CI_Upper,Year
1,FEMALE,1.15,1.101,1.2,2004
2,age65,2.044,1.946,2.148,2004
3,Tuberculosis(CC1),1.61,0.955,2.714,2004
4,Septicemia(CCS2),0.914,0.7,1.192,2004
5,Oth bact inf(CCS23),0.603,0.563,0.646,2004
6,HIV infectn(CSS5),1.957,1.65,2.321,2004
7,"Esoph cancer(CCS12), Stomch cancr(CCS13), Colon cancer(CCS14), Liver/ibd ca(CCS16), Pancreas can(CCS17), GI/perit can(CCS18), Brnch/lng ca(CCS19), Breast cancr(CCS24), Ovary cancer(CCS27), Prostate can(CCS29), Bladder cncr(CCS32), Brain/ns can(CCS35)",1.479,1.364,1.604,2004
8,Non-Hodg lym(CCS38),1.537,1.312,1.799,2004
9,"Leukemias(CCS39), Mult myeloma(CCS40)",1.724,1.515,1.963,2004
10,"Ot primry ca(CCS41), 2ndary malig(CCS42), Malig neopls(CCS43),Neoplsm unsp(CCS44)",1.693,1.539,1.862,2004
11,DiabMel w/cm(CCS50),0.781,0.724,0.843,2004
12,Hyperlipidem(CCS53),0.666,0.599,0.742,2004
13,Anemia(CCS59),0.749,0.709,0.791,2004
14,Coag/hemr dx(CCS62),1.162,1.101,1.227,2004
15,Coma/brn dmg(CCS85),1.606,1.449,1.78,2004
16,Hrt valve dx(CCS96),0.913,0.838,0.995,2004
17,Acute MI(CCS100),1.587,1.457,1.729,2004
18,Chest pain(CCS102),0.486,0.297,0.797,2004
19,Dysrhythmia(CCS106),1.212,1.155,1.273,2004
20,Cardia arrst(CCS107),13.446,11.548,15.655,2004
21,Acute CVD(CCS109),2.019,1.781,2.289,2004
22,Ot circul dx(CCS117),1.148,1.08,1.221,2004
23,"Pneumonia(CCS122),Oth low resp(CCS133)",1.009,0.964,1.056,2004
24,"COPD(CCS127),Asthma(CCS128)",0.865,0.821,0.912,2004
25,Adlt resp fl(CCS131),2.95,2.815,3.091,2004
26,Peritonitis(CCS148),1.58,1.39,1.797,2004
27,GI hemorrhag(CCS153),1.506,1.383,1.64,2004
28,Ac renl fail(CCS157),1.557,1.489,1.627,2004
29,Chr kidney disease(CCS158),1.277,1.182,1.381,2004
30,UTI(CCS159),0.557,0.531,0.584,2004
31,Skin infectn(CCS197),0.761,0.693,0.835,2004
32,Complic devi(CCS237),0.587,0.543,0.635,2004
33,Shock(CCS249),1.984,1.895,2.076,2004
1,FEMALE,1.184,1.138,1.23,2005
2,age65,1.97,1.884,2.061,2005
3,Tuberculosis(CC1),0.98,0.601,1.601,2005
4,Septicemia(CCS2),1.005,0.781,1.293,2005
5,Oth bact inf(CCS23),0.547,0.513,0.582,2005
6,HIV infectn(CSS5),1.886,1.589,2.239,2005
7,"Esoph cancer(CCS12), Stomch cancr(CCS13), Colon cancer(CCS14), Liver/ibd ca(CCS16), Pancreas can(CCS17), GI/perit can(CCS18), Brnch/lng ca(CCS19), Breast cancr(CCS24), Ovary cancer(CCS27), Prostate can(CCS29), Bladder cncr(CCS32), Brain/ns can(CCS35)",1.324,1.23,1.426,2005
8,Non-Hodg lym(CCS38),1.849,1.598,2.14,2005
9,"Leukemias(CCS39), Mult myeloma(CCS40)",1.713,1.524,1.926,2005
10,"Ot primry ca(CCS41), 2ndary malig(CCS42), Malig neopls(CCS43),Neoplsm unsp(CCS44)",1.89,1.738,2.054,2005
11,DiabMel w/cm(CCS50),0.702,0.654,0.753,2005
12,Hyperlipidem(CCS53),0.672,0.615,0.734,2005
13,Anemia(CCS59),0.715,0.68,0.751,2005
14,Coag/hemr dx(CCS62),1.131,1.076,1.189,2005
15,Coma/brn dmg(CCS85),1.522,1.385,1.672,2005
16,Hrt valve dx(CCS96),0.865,0.802,0.933,2005
17,Acute MI(CCS100),1.373,1.275,1.479,2005
18,Chest pain(CCS102),0.37,0.227,0.601,2005
19,Dysrhythmia(CCS106),1.185,1.135,1.238,2005
20,Cardia arrst(CCS107),11.293,9.923,12.853,2005
21,Acute CVD(CCS109),1.771,1.581,1.984,2005
22,Ot circul dx(CCS117),1.176,1.111,1.244,2005
23,"Pneumonia(CCS122),Oth low resp(CCS133)",0.965,0.926,1.005,2005
24,"COPD(CCS127),Asthma(CCS128)",0.836,0.798,0.875,2005
25,Adlt resp fl(CCS131),3.134,3.004,3.269,2005
26,Peritonitis(CCS148),1.483,1.318,1.668,2005
27,GI hemorrhag(CCS153),1.584,1.466,1.711,2005
28,Ac renl fail(CCS157),1.455,1.399,1.514,2005
29,Chr kidney disease(CCS158),1.083,1.021,1.149,2005
30,UTI(CCS159),0.591,0.566,0.617,2005
31,Skin infectn(CCS197),0.71,0.653,0.772,2005
32,Complic devi(CCS237),0.575,0.535,0.619,2005
33,Shock(CCS249),1.968,1.89,2.05,2005
1,FEMALE,1.162,1.122,1.204,2006
2,age65,2,1.921,2.083,2006
3,Tuberculosis(CC1),1.068,0.71,1.607,2006
4,Septicemia(CCS2),1.099,0.859,1.406,2006
5,Oth bact inf(CCS23),0.59,0.558,0.625,2006
6,HIV infectn(CSS5),1.591,1.368,1.851,2006
7,"Esoph cancer(CCS12), Stomch cancr(CCS13), Colon cancer(CCS14), Liver/ibd ca(CCS16), Pancreas can(CCS17), GI/perit can(CCS18), Brnch/lng ca(CCS19), Breast cancr(CCS24), Ovary cancer(CCS27), Prostate can(CCS29), Bladder cncr(CCS32), Brain/ns can(CCS35)",1.358,1.271,1.452,2006
8,Non-Hodg lym(CCS38),1.559,1.358,1.789,2006
9,"Leukemias(CCS39), Mult myeloma(CCS40)",1.835,1.644,2.048,2006
10,"Ot primry ca(CCS41), 2ndary malig(CCS42), Malig neopls(CCS43),Neoplsm unsp(CCS44)",2.017,1.869,2.176,2006
11,DiabMel w/cm(CCS50),0.71,0.667,0.754,2006
12,Hyperlipidem(CCS53),0.661,0.614,0.711,2006
13,Anemia(CCS59),0.721,0.69,0.754,2006
14,Coag/hemr dx(CCS62),1.263,1.206,1.323,2006
15,Coma/brn dmg(CCS85),1.515,1.389,1.652,2006
16,Hrt valve dx(CCS96),0.881,0.824,0.941,2006
17,Acute MI(CCS100),1.405,1.315,1.501,2006
18,Chest pain(CCS102),0.613,0.43,0.875,2006
19,Dysrhythmia(CCS106),1.196,1.15,1.244,2006
20,Cardia arrst(CCS107),9.905,8.865,11.066,2006
21,Acute CVD(CCS109),2.004,1.81,2.218,2006
22,Ot circul dx(CCS117),1.223,1.162,1.287,2006
23,"Pneumonia(CCS122),Oth low resp(CCS133)",0.982,0.945,1.02,2006
24,"COPD(CCS127),Asthma(CCS128)",0.825,0.792,0.859,2006
25,Adlt resp fl(CCS131),3.141,3.022,3.265,2006
26,Peritonitis(CCS148),1.263,1.129,1.411,2006
27,GI hemorrhag(CCS153),1.537,1.433,1.649,2006
28,Ac renl fail(CCS157),1.523,1.47,1.579,2006
29,Chr kidney disease(CCS158),1.065,1.021,1.112,2006
30,UTI(CCS159),0.609,0.586,0.633,2006
31,Skin infectn(CCS197),0.786,0.73,0.847,2006
32,Complic devi(CCS237),0.594,0.558,0.633,2006
33,Shock(CCS249),2.091,2.015,2.169,2006
1,FEMALE,1.174,1.135,1.214,2007
2,age65,1.966,1.893,2.042,2007
3,Tuberculosis(CC1),1.373,0.929,2.029,2007
4,Septicemia(CCS2),1.107,0.876,1.399,2007
5,Oth bact inf(CCS23),0.597,0.565,0.631,2007
6,HIV infectn(CSS5),1.694,1.457,1.97,2007
7,"Esoph cancer(CCS12), Stomch cancr(CCS13), Colon cancer(CCS14), Liver/ibd ca(CCS16), Pancreas can(CCS17), GI/perit can(CCS18), Brnch/lng ca(CCS19), Breast cancr(CCS24), Ovary cancer(CCS27), Prostate can(CCS29), Bladder cncr(CCS32), Brain/ns can(CCS35)",1.393,1.311,1.479,2007
8,Non-Hodg lym(CCS38),1.5,1.324,1.699,2007
9,"Leukemias(CCS39), Mult myeloma(CCS40)",1.751,1.587,1.932,2007
10,"Ot primry ca(CCS41), 2ndary malig(CCS42), Malig neopls(CCS43),Neoplsm unsp(CCS44)",1.998,1.87,2.135,2007
11,DiabMel w/cm(CCS50),0.705,0.666,0.747,2007
12,Hyperlipidem(CCS53),0.706,0.663,0.751,2007
13,Anemia(CCS59),0.699,0.67,0.729,2007
14,Coag/hemr dx(CCS62),1.3,1.245,1.358,2007
15,Coma/brn dmg(CCS85),1.567,1.447,1.696,2007
16,Hrt valve dx(CCS96),0.876,0.822,0.934,2007
17,Acute MI(CCS100),1.21,1.138,1.287,2007
18,Chest pain(CCS102),0.606,0.438,0.84,2007
19,Dysrhythmia(CCS106),1.207,1.163,1.252,2007
20,Cardia arrst(CCS107),7.853,7.106,8.677,2007
21,Acute CVD(CCS109),1.799,1.638,1.977,2007
22,Ot circul dx(CCS117),1.165,1.108,1.226,2007
23,"Pneumonia(CCS122),Oth low resp(CCS133)",0.954,0.92,0.988,2007
24,"COPD(CCS127),Asthma(CCS128)",0.779,0.749,0.81,2007
25,Adlt resp fl(CCS131),3.296,3.177,3.42,2007
26,Peritonitis(CCS148),1.315,1.193,1.45,2007
27,GI hemorrhag(CCS153),1.516,1.421,1.616,2007
28,Ac renl fail(CCS157),1.484,1.435,1.535,2007
29,Chr kidney disease(CCS158),1.022,0.985,1.062,2007
30,UTI(CCS159),0.601,0.58,0.624,2007
31,Skin infectn(CCS197),0.707,0.659,0.759,2007
32,Complic devi(CCS237),0.62,0.584,0.658,2007
33,Shock(CCS249),2.14,2.067,2.216,2007
1,FEMALE,1.137,1.103,1.172,2008
2,age65,1.898,1.834,1.964,2008
3,Tuberculosis(CC1),1.538,1.073,2.204,2008
